city,hour,T_road,T_can,Tmrt
三亚,1,0,0,0
三亚,2,0,0,0
三亚,3,0,0,0
三亚,4,0,0,0
三亚,5,0,0,0
三亚,6,0,0,0
三亚,7,0,0,0.24349088239298666
三亚,8,-0.202909777,-0.014394796,4.2193309835141255
三亚,9,-0.514699698,-0.030575983,8.357110713358974
三亚,10,-0.822958194,-0.014252235,11.412632302290763
三亚,11,-1.001334524,-0.019255594,13.676032023533544
三亚,12,-1.237730518,-0.02622659,14.584395309031947
三亚,13,-1.608558773,-0.040480198,14.21779790363356
三亚,14,-1.73829332,-0.051867186,12.74408225723631
三亚,15,-1.671428889,-0.043649901,10.224308381831543
三亚,16,-1.276937417,-0.030441864,7.205448585012618
三亚,17,-0.818221257,-0.035136431,3.3842958697586067
三亚,18,-0.480817425,-0.013083197,-0.229673711
三亚,19,-0.322165747,-0.008462591,-0.247480566
三亚,20,-0.233957661,-0.000527998,-0.183308815
三亚,21,-0.187417628,-0.000423778,-0.151144646
三亚,22,-0.158140628,0.002146695372259515,-0.129669327
三亚,23,-0.135418369,0.000977662049896324,-0.113303651
三亚,24,-0.118756456,-0.002329417,-0.101750889
上海,1,-0.069487438,-0.011005454,-0.075205246
上海,2,-0.066725062,-0.01398276,-0.07141969
上海,3,-0.067253381,-0.017256153,-0.071043402
上海,4,-0.059380033,-0.014692311,-0.06270665
上海,5,-0.043412693,-0.00319632,-0.049290495
上海,6,-0.051045991,-0.015445987,-0.056704305
上海,7,-0.051549586,-0.015670908,1.3124156901534727
上海,8,-0.034301162,-0.002998264,5.529114820524285
上海,9,-0.441863518,-0.013265967,7.348586912944869
上海,10,-1.053874317,-0.010817972,10.2789680751806
上海,11,-1.685447863,-0.036679849,11.328472558649334
上海,12,-2.084293236,-0.032436547,10.952767829457006
上海,13,-2.270214938,-0.047872464,8.904377089242484
上海,14,-2.073586641,-0.046891939,6.350176833161513
上海,15,-1.61374207,-0.040145842,3.5797566693100933
上海,16,-1.058552747,-0.029335305,0.14927999515714627
上海,17,-0.595556222,-0.030588467,-0.53836148
